date,verse_url,reference
2014-06-01T16:56:54.611000+00:00,1/LEV.14.17,Leviticus 14:17
2014-06-01T16:43:03.883000+00:00,1/LEV.11.37,Leviticus 11:37
2014-06-01T16:53:16.255000+00:00,1/LEV.13.45,Leviticus 13:45
2014-06-02T05:47:36.269000+00:00,1/LEV.19.26,Leviticus 19:26
2014-06-02T05:49:31.605000+00:00,1/LEV.19.32,Leviticus 19:32
2014-06-02T06:05:03.534000+00:00,1/LEV.22.13,Leviticus 22:13
2014-06-02T05:19:15.275000+00:00,1/LEV.16.8,Leviticus 16:8
2014-06-02T06:15:48.640000+00:00,1/LEV.25.10,Leviticus 25:10
2014-06-02T12:37:48.840000+00:00,1/NUM.1.7,Numbers 1:7
2014-06-02T12:46:03.882000+00:00,1/NUM.2.3,Numbers 2:3
2014-06-03T13:19:12.254000+00:00,1/NUM.7.9,Numbers 7:9
2014-06-03T13:30:22.488000+00:00,1/NUM.7.89,Numbers 7:89
2014-06-04T04:44:46.353000+00:00,1/NUM.9.15,Numbers 9:15
2014-06-04T05:08:54.609000+00:00,1/NUM.13.23,Numbers 13:23
2014-06-04T05:10:38.387000+00:00,1/NUM.13.30,Numbers 13:30
2014-06-04T05:11:13.465000+00:00,1/NUM.14.2,Numbers 14:2
2014-06-04T04:46:48.202000+00:00,1/NUM.10.11,Numbers 10:11
2014-06-04T04:53:46.860000+00:00,1/NUM.11.5,Numbers 11:5
2014-06-05T05:19:20.006000+00:00,1/NUM.21.5,Numbers 21:5
2014-06-06T13:05:20+00:00,1/NUM.26.33,Numbers 26:33
2014-06-06T13:06:44+00:00,1/NUM.26.46,Numbers 26:46
2014-06-06T13:08:45+00:00,1/NUM.26.59,Numbers 26:59
2014-06-06T13:13:22+00:00,1/NUM.27.7,Numbers 27:7
2014-06-06T13:21:56+00:00,1/NUM.27.23,Numbers 27:23
2014-06-06T22:46:53+00:00,1/NUM.31.49,Numbers 31:49
2014-06-07T00:16:05+00:00,1/NUM.36.13,Numbers 36:13
2014-06-07T00:20:23+00:00,1/DEU.1.8,Deuteronomy 1:8
2014-06-07T00:25:13+00:00,1/DEU.1.28,Deuteronomy 1:28
2014-06-07T00:26:10+00:00,1/DEU.1.36,Deuteronomy 1:36
2014-06-07T00:28:34+00:00,1/DEU.1.44,Deuteronomy 1:44
2014-06-07T00:46:27+00:00,1/DEU.2.5,Deuteronomy 2:5
2014-06-07T00:47:39+00:00,1/DEU.2.9,Deuteronomy 2:9
2014-06-07T00:50:56+00:00,1/DEU.2.30,Deuteronomy 2:30
2014-06-07T00:56:51+00:00,1/DEU.4.2,Deuteronomy 4:2
2014-06-07T01:00:45+00:00,1/DEU.4.9,Deuteronomy 4:9
2014-06-07T01:01:31+00:00,1/DEU.4.15,Deuteronomy 4:15
2014-06-07T01:02:26+00:00,1/DEU.4.24,Deuteronomy 4:24
2014-06-07T01:04:32+00:00,1/DEU.4.39,Deuteronomy 4:39
2014-06-08T23:01:18+00:00,1/DEU.16.3,Deuteronomy 16:3
